game_id,moves,num_moves
21,e4 d5 Nf3 dxe4 Ng5 Nf6 f3 exf3 Nxf3 Qd5 Nc3 Qc6 Bb5 Qxb5 Nxb5 c6 Nc7+ Kd7 Nxa8 Na6 d4 b5 Bf4 Bb7 Ne5+ Ke6 O-O Bxa8 Re1 Kd6 Nxf7+ Kd7 Nxh8 Ng4 Qxg4+ Ke8 Qe6 g6 Bg5 Kd8 Bxe7+ Bxe7 Qxe7+ Kc8 Qxh7 Kb8 Re8#,47
22,e4 g6 d4 Bg7 Be3 e6 c3 Ne7 Qc1 c6 Nd2 d5 Bd3 dxe4 Bxe4 Bd7 Ne2 c5 Nf1 cxd4 Nxd4 Bc6 Bc2 O-O Bh6 Bxh6 Qxh6 Nf5 Nxf5 exf5 Nd2 Bxg2 Rg1 Re8+ Kd1 Bf3+ Kc1 Re2 h4 Qxd2+ Kb1 Qxc2#,42
23,d4 d5 c4 Nf6 Nc3 e6 f3 Bb4 e4 c6 Bd2 Bxc3 Bxc3 O-O Ne2 dxe4 Qc2 exf3 gxf3 b5 cxb5 cxb5 Bb4 Re8 Nf4 Bb7 Bxb5 Nc6 Bxc6 Bxc6 Qxc6 Qxd4 Bd2 Red8 O-O-O Rac8 Qxc8 Rxc8+ Kb1 Nd5 Ne2 Qf2 Nf4 Qxf3 Ne2 Qe4+ Ka1 Qxe2 a3 Ne3 Bxe3,51
24,d4 d5 Bf4 c5 e3 Nc6 c3 Nf6 Bd3 Bg4 f3 Bh5 Nd2 cxd4 exd4 e6 Ne2 Bd6 Bxd6 Qxd6 O-O O-O Ng3 Bg6 Bxg6 fxg6 Qe2 Rae8 Rae1 Nh5 Nxh5 gxh5 Qf2 g5 Qg3 Qxg3 hxg3 e5 dxe5 Nxe5 Nb3 Nd3 Rxe8 Rxe8 Rb1 Re2 Nd4 Rxb2 Rxb2 Nxb2 Ne6 g4 fxg4 hxg4 Ng5 Nd1 Ne6 Nxc3 Nc5 d4 Nxb7 Nxa2 Nc5 Nb4 Nb3 d3 Nd2,67
25,e4 e6 c3 Be7 d3 c6 Nf3 d6 Be2 d5 O-O dxe4 dxe4 Qxd1 Bxd1 Nf6 Bc2 O-O Be3 Nfd7 Nbd2 Bd6 Rad1 Ne5 Nc4 Nxc4 Bc1 Bc7 b3 Ne5 Nd2 Na6 f4 Ng6 Nf3 Bxf4 Bxf4 Nxf4 Ne5 Ng6 Nf3 Nc7 Nd2 e5 Nc4 Ne6 Nd6 b6 Nc4 b5 Na5 c5 b4 c4 Rd5 Nef4 Rxb5 Nd3 Bxd3 cxd3 Rd5 Ba6 b5 Bc8 Rxd3 Be6 c4 a6 b6 Rac8 Rc1 Rc5 Nb7 Rxc4 Rxc4 Bxc4 Rc3 Bb5 Nd6 Nf4 b7 g6 Rc8 Bc6 b8=Q Rxc8 Qxc8+ Kg7 Qxc6 Ne6 Qxa6,91
26,e4 c5 Nf3 e6 c3 Qc7 d4 a6 Bd3 b5 O-O c4 Bc2 h5 Re1 Nf6 h3 Ng4 hxg4 hxg4 Ne5 Nc6 Bf4 Bd6 Qc1 f6 Ng6 Kf7 Bxd6 Qxd6 Nxh8+ Ke7 e5 fxe5 dxe5 Nxe5 Ng6+ Nxg6 Bxg6 Bb7 Qg5+ Kf8 Qxg4 Qd5 Na3 Kg8 Be4,47
27,b3 f5 Bb2 e6 Bxg7 Bxg7,6
28,e4 b6 d4 Bb7 Nc3 d6 f4 c5 Nf3 cxd4 Nxd4 Nd7 Nf3 e5 Bd3 exf4 Bxf4 Ngf6 O-O Be7 Qd2 O-O a3 d5 exd5 Nxd5 Nxd5 Bxd5 h3 Bf6 Kh1 Bxb2 Rab1 Bf6 c4 Bc6 Qc2 g6 Bh6 Re8 Rbd1 Qc8 Qb3 Nc5 Qc2 Nxd3 Qxd3 Qb7 Qd2 Bxf3 Rxf3 Rad8 Qc2 Rxd1+ Qxd1 Bg7 Bxg7 Kxg7 Qd4+ Kg8 Qf4 Qe7 Kh2 f5 h4 Qe5 g3 Qxf4 Rxf4 Re3 Kh3 Rxa3 Rd4 a5 Rd5 a4 Rb5 Rc3 Rxb6 Rxc4 Rb8+ Kg7 Ra8 Kh6 Kg2 Rb4 Kf2 Kh5 Kg2 Kg4 Ra7 h5 Rg7 Rb2+ Kf1 Kxg3 Rxg6+ Kxh4 Ra6 Rb4 Ke1 Kg4 Kd2 h4 Kc3 Rb3+ Kc4 Rf3 Rxa4 h3 Kb5+ Kg3 Ra6 f4 Ra7 Kf2 Rg7 h2 Rf7 Rh3 Kc6,121
29,g3 d5 Bg2 Nf6 Nf3 c6 e3 Bg4 d4 Qb6 c3 Nbd7 h3 Bxf3 Bxf3 e5 g4 e4 O-O exf3 Qxf3 Ne4 Nd2 Ndf6 Nxe4 Nxe4 Qf4 Bd6 Qe5+,29
30,d4 c6 e3 d5 c4 Nf6 cxd5 cxd5 Nc3 Nc6 Nf3 Bg4 g3 Bxf3 Qxf3 e6 Qd1 Bb4 Bg2 Qa5 Bd2 O-O O-O Rac8 a3 Bxc3 Bxc3 Qb6 Qe2 Na5 Bxa5 Qxa5 Rfc1 Rc6 Rxc6 bxc6 b4 Qb5 Qxb5 cxb5 Rc1 Nd7 Rc7 Nb6 Rxa7 Rc8 Bf1 Nc4 Kg2 h6 Rb7 Nxa3 Bxb5 Nc2 Bd3 Ne1+ Kh3 Nxd3 b5 Rc4 Rb8+ Kh7 b6 Nxf2+ Kg2 Ne4 Rb7 Kg6 Ra7 Rc2+ Kg1 Rb2 Rb7 Nf2 h4 Ng4 Rb8 Nxe3 b7 Nf5 g4 Nxh4 Kf1 Nf3 g5 Nxg5 Kg1 Nf3+ Kf1 Nxd4 Ke1 e5 Kd1 e4 Ke1 e3 Kf1 f5 Ke1 f4 Kf1 f3 Kg1 Nf5 Kh1 Ng3+ Kg1 Rg2#,108
